"","Lab_reference","Country","Breed","Province","Farm_ID","Diagnostic_test","Sample_type","Samplenumber","Date","Date_month","Date_week","Pathogen","Result"
"30","6","France","Beef","Brittany","3e354d72118ae4ccd982645abedc432ede96bc4d49e32503f2bda257f57ae182","Culture","Missing","e5537014040aa0b19688033239b8c87e8e98e22efda40f757f03edc069ebf374",2022-06-07,2022-06-01,2022-06-05,"MH","0"
"31","6","France","Beef","Brittany","3e354d72118ae4ccd982645abedc432ede96bc4d49e32503f2bda257f57ae182","Culture","Missing","e5537014040aa0b19688033239b8c87e8e98e22efda40f757f03edc069ebf374",2022-06-07,2022-06-01,2022-06-05,"HS","0"
"32","6","France","Beef","Brittany","3e354d72118ae4ccd982645abedc432ede96bc4d49e32503f2bda257f57ae182","Culture","Missing","e5537014040aa0b19688033239b8c87e8e98e22efda40f757f03edc069ebf374",2022-06-07,2022-06-01,2022-06-05,"MB","0"
"33","6","France","Beef","Brittany","3e354d72118ae4ccd982645abedc432ede96bc4d49e32503f2bda257f57ae182","Culture","Missing","e5537014040aa0b19688033239b8c87e8e98e22efda40f757f03edc069ebf374",2022-06-07,2022-06-01,2022-06-05,"BRSV",NA
"34","6","France","Beef","Brittany","3e354d72118ae4ccd982645abedc432ede96bc4d49e32503f2bda257f57ae182","Culture","Missing","e5537014040aa0b19688033239b8c87e8e98e22efda40f757f03edc069ebf374",2022-06-07,2022-06-01,2022-06-05,"PI3",NA
"35","6","France","Beef","Brittany","3e354d72118ae4ccd982645abedc432ede96bc4d49e32503f2bda257f57ae182","Culture","Missing","e5537014040aa0b19688033239b8c87e8e98e22efda40f757f03edc069ebf374",2022-06-07,2022-06-01,2022-06-05,"BCV",NA
"36","6","France","Beef","Brittany","98e232250bb5312803399cf533247293416dbfc881052d8c9a4d5a56f701f654","Culture","Missing","113724287774fdec6ff8c2bffe62d247b0b28f4d60b2393d51808a6bd41d5eea",2022-12-29,2022-12-01,2022-12-25,"PM","0"
"37","6","France","Beef","Brittany","98e232250bb5312803399cf533247293416dbfc881052d8c9a4d5a56f701f654","Culture","Missing","113724287774fdec6ff8c2bffe62d247b0b28f4d60b2393d51808a6bd41d5eea",2022-12-29,2022-12-01,2022-12-25,"MH","0"
"38","6","France","Beef","Brittany","98e232250bb5312803399cf533247293416dbfc881052d8c9a4d5a56f701f654","Culture","Missing","113724287774fdec6ff8c2bffe62d247b0b28f4d60b2393d51808a6bd41d5eea",2022-12-29,2022-12-01,2022-12-25,"HS","0"
"39","6","France","Beef","Brittany","98e232250bb5312803399cf533247293416dbfc881052d8c9a4d5a56f701f654","Culture","Missing","113724287774fdec6ff8c2bffe62d247b0b28f4d60b2393d51808a6bd41d5eea",2022-12-29,2022-12-01,2022-12-25,"MB","0"
"40","6","France","Beef","Brittany","98e232250bb5312803399cf533247293416dbfc881052d8c9a4d5a56f701f654","Culture","Missing","113724287774fdec6ff8c2bffe62d247b0b28f4d60b2393d51808a6bd41d5eea",2022-12-29,2022-12-01,2022-12-25,"BRSV",NA
"41","6","France","Beef","Brittany","98e232250bb5312803399cf533247293416dbfc881052d8c9a4d5a56f701f654","Culture","Missing","113724287774fdec6ff8c2bffe62d247b0b28f4d60b2393d51808a6bd41d5eea",2022-12-29,2022-12-01,2022-12-25,"PI3",NA
"42","6","France","Beef","Brittany","98e232250bb5312803399cf533247293416dbfc881052d8c9a4d5a56f701f654","Culture","Missing","113724287774fdec6ff8c2bffe62d247b0b28f4d60b2393d51808a6bd41d5eea",2022-12-29,2022-12-01,2022-12-25,"BCV",NA
"43","6","France","Beef","Brittany","98e232250bb5312803399cf533247293416dbfc881052d8c9a4d5a56f701f654","Culture","Missing","3152bedfc61f7624cb02e215d6484d573b31aedeb70c3366efbf3dd70a352e7e",2022-12-29,2022-12-01,2022-12-25,"PM","0"
