"","Lab_reference","Country","Breed","Province","Farm_ID","Diagnostic_test","Sample_type","Samplenumber","Date_month","Date_week","Date","Pathogen","Result"
"34","3","Belgium","Beef","Hainaut","0290f930b05064fe1a0f25517c3daec80ed9b03f8488daf111d1d1d90488c4d8","Culture","Autopsy","438fa3f4eb046bb2bdde13947c3a253f9215914b2f62a186acb6ceda9830e308",2024-06-01,2024-06-24,2024-06-26,"PI3",NA
"35","3","Belgium","Beef","Hainaut","0290f930b05064fe1a0f25517c3daec80ed9b03f8488daf111d1d1d90488c4d8","Culture","Autopsy","438fa3f4eb046bb2bdde13947c3a253f9215914b2f62a186acb6ceda9830e308",2024-06-01,2024-06-24,2024-06-26,"BCV",NA
"36","3","Belgium","Beef","Hainaut","0290f930b05064fe1a0f25517c3daec80ed9b03f8488daf111d1d1d90488c4d8","PCR","Autopsy","438fa3f4eb046bb2bdde13947c3a253f9215914b2f62a186acb6ceda9830e308",2024-06-01,2024-06-24,2024-06-26,"PM",0
"37","3","Belgium","Beef","Hainaut","0290f930b05064fe1a0f25517c3daec80ed9b03f8488daf111d1d1d90488c4d8","PCR","Autopsy","438fa3f4eb046bb2bdde13947c3a253f9215914b2f62a186acb6ceda9830e308",2024-06-01,2024-06-24,2024-06-26,"MH",1
"38","3","Belgium","Beef","Hainaut","0290f930b05064fe1a0f25517c3daec80ed9b03f8488daf111d1d1d90488c4d8","PCR","Autopsy","438fa3f4eb046bb2bdde13947c3a253f9215914b2f62a186acb6ceda9830e308",2024-06-01,2024-06-24,2024-06-26,"HS",0
"39","3","Belgium","Beef","Hainaut","0290f930b05064fe1a0f25517c3daec80ed9b03f8488daf111d1d1d90488c4d8","PCR","Autopsy","438fa3f4eb046bb2bdde13947c3a253f9215914b2f62a186acb6ceda9830e308",2024-06-01,2024-06-24,2024-06-26,"MB",0
"40","3","Belgium","Beef","Hainaut","0290f930b05064fe1a0f25517c3daec80ed9b03f8488daf111d1d1d90488c4d8","PCR","Autopsy","438fa3f4eb046bb2bdde13947c3a253f9215914b2f62a186acb6ceda9830e308",2024-06-01,2024-06-24,2024-06-26,"BRSV",0
"41","3","Belgium","Beef","Hainaut","0290f930b05064fe1a0f25517c3daec80ed9b03f8488daf111d1d1d90488c4d8","PCR","Autopsy","438fa3f4eb046bb2bdde13947c3a253f9215914b2f62a186acb6ceda9830e308",2024-06-01,2024-06-24,2024-06-26,"PI3",0
"42","3","Belgium","Beef","Hainaut","0290f930b05064fe1a0f25517c3daec80ed9b03f8488daf111d1d1d90488c4d8","PCR","Autopsy","438fa3f4eb046bb2bdde13947c3a253f9215914b2f62a186acb6ceda9830e308",2024-06-01,2024-06-24,2024-06-26,"BCV",0
"43","3","Belgium","Beef","Hainaut","0290f930b05064fe1a0f25517c3daec80ed9b03f8488daf111d1d1d90488c4d8","PCR","Autopsy","a1dd6837f284625bdb1cb68f1dbc85c5dc4d8b05bae24c94ed5f55c477326ea2",2020-03-01,2020-03-09,2020-03-14,"PM",0
